Molecola1,Molecola2, LocalComparison
HOTAIR,CRW2_16S_E_698_nH.db,8.592321755027422
HOTAIR,CRW2_16S_E_708_nH.db,8.955223880597014
HOTAIR,CRW2_16S_E_775_nH.db,9.500805152979066
HOTAIR,CRW2_23S_A_17_nH.db,6.217970618380594
HOTAIR,CRW2_23S_A_18_nH.db,5.391483516483516
HOTAIR,CRW2_23S_A_19_nH.db,6.0782967032967035
HOTAIR,CRW2_23S_A_1_nH.db,6.34162973065121
HOTAIR,CRW2_23S_A_20_nH.db,5.398018448923813
HOTAIR,CRW2_23S_A_21_nH.db,6.217970618380594
HOTAIR,CRW2_23S_A_22_nH.db,5.670103092783505
HOTAIR,CRW2_23S_A_23_nH.db,6.0782967032967035
HOTAIR,CRW2_23S_A_24_nH.db,6.4604810996563575
HOTAIR,CRW2_23S_A_25_nH.db,6.4604810996563575
HOTAIR,CRW2_23S_A_29_nH.db,5.233521033454786
HOTAIR,CRW2_23S_A_30_nH.db,6.0284862537264
HOTAIR,CRW2_23S_A_31_nH.db,6.0284862537264
HOTAIR,CRW2_23S_A_32_nH.db,6.220419202163624
HOTAIR,CRW2_23S_A_33_nH.db,6.220419202163624
HOTAIR,CRW2_23S_A_34_nH.db,6.044678055190539
HOTAIR,CRW2_23S_A_35_nH.db,5.104800540906018
HOTAIR,CRW2_23S_A_37_nH.db,6.327372764786795
HOTAIR,CRW2_23S_A_39_nH.db,5.295735900962861
HOTAIR,CRW2_23S_A_3_nH.db,4.758042714247094
HOTAIR,CRW2_23S_A_40_nH.db,6.327372764786795
HOTAIR,CRW2_23S_A_41_nH.db,5.2492571805876524
HOTAIR,CRW2_23S_A_42_nH.db,6.074612083195774
HOTAIR,CRW2_23S_A_44_nH.db,6.0606060606060606
HOTAIR,CRW2_23S_A_47_nH.db,6.136588584625536
HOTAIR,CRW2_23S_A_48_nH.db,5.245793467502474
HOTAIR,CRW2_23S_A_4_nH.db,4.4606650446066505
HOTAIR,CRW2_23S_A_5_nH.db,6.368330464716007
HOTAIR,CRW2_23S_A_6_nH.db,5.370051635111876
HOTAIR,CRW2_23S_A_7_nH.db,6.368330464716007
HOTAIR,CRW2_23S_B_101_nH.db,5.3951890034364265
HOTAIR,CRW2_23S_B_105_nH.db,5.3951890034364265
HOTAIR,CRW2_23S_B_109_nH.db,5.626431141642133
HOTAIR,CRW2_23S_B_110_nH.db,6.051684658161596
HOTAIR,CRW2_23S_B_111_nH.db,6.051684658161596
HOTAIR,CRW2_23S_B_115_nH.db,5.469556243550052
HOTAIR,CRW2_23S_B_118_nH.db,5.6955471177079735
HOTAIR,CRW2_23S_B_119_nH.db,6.59302726958923
HOTAIR,CRW2_23S_B_120_nH.db,6.59302726958923
HOTAIR,CRW2_23S_B_121_nH.db,6.496598639455782
HOTAIR,CRW2_23S_B_122_nH.db,5.374149659863946
HOTAIR,CRW2_23S_B_127_nH.db,6.496598639455782
HOTAIR,CRW2_23S_B_128_nH.db,5.408163265306122
HOTAIR,CRW2_23S_B_129_nH.db,6.496598639455782
HOTAIR,CRW2_23S_B_133_nH.db,5.694444444444445
HOTAIR,CRW2_23S_B_148_nH.db,5.8495821727019495
HOTAIR,CRW2_23S_B_149_nH.db,6.6155988857938715
HOTAIR,CRW2_23S_B_150_nH.db,6.6155988857938715
HOTAIR,CRW2_23S_B_151_nH.db,5.840593739916102
HOTAIR,CRW2_23S_B_152_nH.db,5.840593739916102
HOTAIR,CRW2_23S_B_153_nH.db,5.421103581800581
HOTAIR,CRW2_23S_B_154_nH.db,6.215846994535519
HOTAIR,CRW2_23S_B_155_nH.db,6.215846994535519
HOTAIR,CRW2_23S_B_156_nH.db,6.197934021992669
HOTAIR,CRW2_23S_B_157_nH.db,5.669398907103825
HOTAIR,CRW2_23S_B_158_nH.db,5.631456181272909
HOTAIR,CRW2_23S_B_159_nH.db,6.197934021992669
HOTAIR,CRW2_23S_B_163_nH.db,6.132075471698113
HOTAIR,CRW2_23S_B_164_nH.db,6.132075471698113
HOTAIR,CRW2_23S_B_165_nH.db,5.45822102425876
HOTAIR,CRW2_23S_B_187_nH.db,5.733504163997438
HOTAIR,CRW2_23S_B_188_nH.db,5.733504163997438
HOTAIR,CRW2_23S_B_189_nH.db,5.509288917360666
HOTAIR,CRW2_23S_B_193_nH.db,6.655052264808362
HOTAIR,CRW2_23S_B_194_nH.db,5.714285714285714
HOTAIR,CRW2_23S_B_195_nH.db,6.655052264808362
HOTAIR,CRW2_23S_B_199_nH.db,5.640535372848948
HOTAIR,CRW2_23S_B_200_nH.db,5.258126195028681
HOTAIR,CRW2_23S_B_201_nH.db,5.640535372848948
HOTAIR,CRW2_23S_B_208_nH.db,6.239683063717399
HOTAIR,CRW2_23S_B_209_nH.db,5.546384945526577
HOTAIR,CRW2_23S_B_210_nH.db,6.239683063717399
HOTAIR,CRW2_23S_B_238_nH.db,6.555671175858481
HOTAIR,CRW2_23S_B_239_nH.db,6.555671175858481
HOTAIR,CRW2_23S_B_240_nH.db,5.82726326742976
HOTAIR,CRW2_23S_B_241_nH.db,5.737179487179487
HOTAIR,CRW2_23S_B_242_nH.db,5.737179487179487
HOTAIR,CRW2_23S_B_243_nH.db,5.256410256410256
HOTAIR,CRW2_23S_B_250_nH.db,5.833333333333333
HOTAIR,CRW2_23S_B_251_nH.db,5.2243589743589745
HOTAIR,CRW2_23S_B_252_nH.db,5.833333333333333
HOTAIR,CRW2_23S_B_253_nH.db,6.489976214746857
HOTAIR,CRW2_23S_B_254_nH.db,5.436629289840299
HOTAIR,CRW2_23S_B_255_nH.db,6.489976214746857
HOTAIR,CRW2_23S_B_260_nH.db,6.258692628650904
HOTAIR,CRW2_23S_B_261_nH.db,6.258692628650904
HOTAIR,CRW2_23S_B_262_nH.db,5.458970792767733
HOTAIR,CRW2_23S_B_263_nH.db,6.20926243567753
HOTAIR,CRW2_23S_B_264_nH.db,6.20926243567753
HOTAIR,CRW2_23S_B_265_nH.db,5.283018867924528
HOTAIR,CRW2_23S_B_272_nH.db,5.454545454545454
HOTAIR,CRW2_23S_B_273_nH.db,6.20926243567753
HOTAIR,CRW2_23S_B_274_nH.db,6.20926243567753
HOTAIR,CRW2_23S_B_275_nH.db,5.907036797934151
HOTAIR,CRW2_23S_B_276_nH.db,5.2614590058102
