Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference
Agrocybe aegerita,AF087656,1857,1521,168,No,0,Group II Introns,0,(()()()())(()())(()()())()()(),((()()((()))(((((())))))))((()()))((()()()))()(())((())),--,No,CRW2,--,CRW2_GIII_E_27,--
Calothrix,X71404,2543,2191,176,No,0,Group II Introns,0,(()()(()())(()(()()())))(()())()()()(),((()()((())(()))((()((()()((()))))))))(((()())))((()))()(())(()),--,No,CRW2,--,CRW2_GIII_B_18,--
Cryphonectria parasitica,AF029891,2110,1812,149,No,0,Group II Introns,0,(()()(()())(()()))()()()()(),((()()(((()))(()))((()(((())))))))((()))()(())(())((())),--,No,CRW2,--,CRW2_GIII_E_26,--
Escherichia coli,X77508,1979,1631,174,No,0,Group II Introns,0,(()(()()(()())(()(()()))))()()()()(),((())((()()((())())((()(((()()))))))))(((())))((()))()(())(()),--,No,CRW2,--,CRW2_GIII_B_1,--
Kluyveromyces lactis,X57546,2621,2249,186,No,0,Group II Introns,0,(()()(()())(()((()()())())))()()()()(),((()()(((()))())(((()(((()()(()))())))))))(())((((()))))()(())(((()))),--,No,CRW2,--,CRW2_GIII_E_11,--
Lactococcus lactis,X89922,2600,2226,187,No,0,Group II Introns,0,(()()(()())(()((()()())())))(()())()()()(),((()()(((()))(()))((()(((()()(()))()))))))((()()))(((())))()(())((((())))),--,No,CRW2,--,CRW2_GIII_B_2,--
Marchantia polymorpha,M68929,1640,1332,154,No,0,Group II Introns,0,(()()((()())())((()()())()))()()()()(),(((()()(((()()))())((((()()(()))()))))))()(())(())(())(()),--,No,CRW2,--,CRW2_GIII_E_12,--
Marchantia polymorpha,M68929,1050,612,219,No,0,Group II Introns,0,(()()(()()(()()()()))(()(()()())))(()())(()()())()()(),((()()(((()))()(()()()()))((()((((()))(())(())))))))(()())((()()()))()(())((())),--,No,CRW2,--,CRW2_GIII_E_28,--
Nicotiana tabacum,Z00044 M10124,780,546,117,No,0,Group II Introns,0,(()()(()())(()(()())))()()()()(),((()()(((()))())(((()(()()))))))()(())()(())(()),--,No,CRW2,--,CRW2_GIII_E_4,--
Nicotiana tabacum,Z00044,739,501,119,No,0,Group II Introns,0,(()()(()())(()(()())))()()()()(),((((()()((()()))((()(()((())))))))))(())()()(())(()),--,No,CRW2,--,CRW2_GIII_E_5,--
Nicotiana tabacum,Z00044,619,377,121,No,0,Group II Introns,0,(()()(()())(()()()))()()()()(),((()()(((()))(()))(((()(())((())))))))(())()()(())(()),--,No,CRW2,--,CRW2_GIII_E_6,--
Nicotiana tabacum,Z00044,824,502,161,No,0,Group II Introns,0,(()()(()())(()(()()())))()()()()(),(((()()((())())((()((()()(()))))))))((()))(())()(())(()),--,No,CRW2,--,CRW2_GIII_E_7,--
Nicotiana tabacum,Z00044,772,526,123,No,0,Group II Introns,0,(()()()(()(()())))()()()()(),((((()()(((())))((()((()(())))))))))()(())()(())(()),--,No,CRW2,--,CRW2_GIII_E_8,--
Nicotiana tabacum,Z00044,2609,2375,117,No,0,Group II Introns,0,(()()()(()(()()())))()()()()(),((()(())((()))((()(()()(()))))))()(())()(())(()),--,No,CRW2,--,CRW2_GIII_E_9,--
Nicotiana tabacum,Z00044 K01727,659,441,109,No,0,Group II Introns,0,(()()(()()))()()()()(),((()(((())))((()(((())))))))()(())(())(())(()),--,No,CRW2,--,CRW2_GIII_E_10,--
Nicotiana tabacum,Z00044,1037,817,110,No,0,Group II Introns,0,(()())()()()()(),(((((()))((((((())))))))))((()))()()(())(()),--,No,CRW2,--,CRW2_GIII_E_17,--
Nicotiana tabacum,Z00044,1165,923,121,No,0,Group II Introns,0,(()()()(()()))()()()()(),(((()()((()))((()(((((()))))))))))()((()))()(())((())),--,No,CRW2,--,CRW2_GIII_E_19,--
Nicotiana tabacum,Z00044,696,434,131,No,0,Group II Introns,0,(()(()()()()))()()()()(),((())(((()()(((())))((((((()))))))))))(())()(())(())((())),--,No,CRW2,--,CRW2_GIII_E_20,--
Nicotiana tabacum,Z00044,770,542,114,No,0,Group II Introns,0,(()()()())()()()()(),((()()((()))((((()))))))()(())()(())(()),--,No,CRW2,--,CRW2_GIII_E_21,--
Nicotiana tabacum,Z00044,759,485,137,No,0,Group II Introns,0,(()()()(()()))()()()()(),((()()((()))(((()(()))))))((()))((()))()(())(((()))),--,No,CRW2,--,CRW2_GIII_E_22,--
Nicotiana tabacum,Z00044,755,485,135,No,0,Group II Introns,0,(()()(()())())()()()()(),((((()()(((()))((())))((((((()))))))))))((()))(())()(())((())),--,No,CRW2,--,CRW2_GIII_E_23,--
Nicotiana tabacum,X03415,990,764,113,No,0,Group II Introns,0,(()()()(()()))()()()()(),((()()(((())))((()((((()))))))))()(())()(())(()),--,No,CRW2,--,CRW2_GIII_E_24,--
Nicotiana tabacum,Z00044,708,438,135,No,0,Group II Introns,0,(()()()()(()()))()()()()(),((()()(())()(((((()(((()))))))))))()(())()(())(()),--,No,CRW2,--,CRW2_GIII_E_25,--
Petunia x,X17394,1456,1156,150,No,0,Group II Introns,0,(()(()())((()()())()))(()())()()()(),((()((())())(((((()(())(((()))))()))))))((()((()))))((()))()(())(()),--,No,CRW2,--,CRW2_GIII_E_14,--
Pilayella littoralis,Z48620,2474,2116,179,No,0,Group II Introns,0,(()()(()())(()(()())))(()())(()()())()()(),((()()(((()))())(((()((()(()))))))))((()()))((()()()))()(())((())),--,No,CRW2,--,CRW2_GIII_E_29,--
Pilayella littoralis,Z48620,990,634,178,No,0,Group II Introns,0,(()()(()())(()(()())))()()()()(),((()()(((()))())((()((()(((())))))))))(())((()))(())(())((())),--,No,CRW2,--,CRW2_GIII_E_31,--
Pilayella littoralis,Z48620,2440,2072,184,No,0,Group II Introns,0,(()()(()())(()(()())))(()())(()()())()()(),(((()()(((()))(()))((()(((())(()))))))))(()())((()()()))()(())((())),--,No,CRW2,--,CRW2_GIII_E_32,--
Pisum sativum,X80854,990,634,178,No,0,Group II Introns,0,(()()(()())())(()())((()()())())()()(),(((()(())(((()())))((((())))))))((((())))())((((()(())()))((()))))(())(())((())),--,No,CRW2,--,CRW2_GIII_E_33,--
Podospora anserina,X55026,2729,2353,188,No,0,Group II Introns,0,(()()(()())(()((()()())())))()(()())()()(),((()()(((()))(()))((()(((()()(((()))))()))))))(())((()()))()(())((())),--,No,CRW2,--,CRW2_GIII_E_13,--
Pylaiella littoralis,Z48620,1192,872,160,No,0,Group II Introns,0,(()()()(()(()())))(()())(()()())()()(),((()()(((())))((()((()(())))))))(()(()))((()()()))()(())((())),--,No,CRW2,--,CRW2_GIII_E_30,--
Saccharomyces cerevisiae,V00694,2520,2102,209,Yes,3,Group II Introns,4,([({()({)[[())]()]<()<<[)]()((])})>()>>}()((()())()()()),([({{{()({)[[(()))]()]<<()<<<[)]()((])})>()>>>>}}}(())(((()((()))))(())(())(((())))),([({({)[)]<[)]((])})>},No,CRW2,--,CRW2_GIII_E_15,--
Saccharomyces cerevisiae,V00694,905,377,264,Yes,0,Group II Introns,5,([({()({)[[())]({())]<()<)(})()((])})>>}(()()())((()()())()()()),([({{(())({)[[(()))]((({())))]<<()<<)(})()(((])}))>>>>}}((()(())(())))(((()()()))()(())((()))),([({({)[[)]({)]<)(})((])})>},No,CRW2,--,CRW2_GIII_E_34,--
Scenedesmus obliquus,X17375,625,281,172,No,3,Group II Introns,0,(()()(()())(()()))(()())(()()())()()(),((()()((((())))((())))((()(((())))))))((()()))((()()()))()(())((())),--,No,CRW2,--,CRW2_GIII_E_35,--
Sinorhizobium meliloti,Y11597,1904,1570,167,No,0,Group II Introns,0,(()(()()(()())(()(()()))))()()()()(),((())(()()((())())((()(((()())))))))((()))((()))()(())((())),--,No,CRW2,--,CRW2_GIII_B_3,--
Zea mays,V00712,912,660,126,No,0,Group II Introns,0,(()(()())((()()())()))()()()()(),((()((())())(((((()((()))((())))()))))))(())(())()(())(()),--,No,CRW2,--,CRW2_GIII_E_16,--
