Molecola1,Molecola2, LocalComparison
HOTAIR,CRW2_16S_E_698_nH.db,2.1782178217821784
HOTAIR,CRW2_16S_E_708_nH.db,1.9933554817275747
HOTAIR,CRW2_16S_E_775_nH.db,2.1699819168173597
HOTAIR,CRW2_23S_A_17_nH.db,0.4662004662004662
HOTAIR,CRW2_23S_A_18_nH.db,0.4922067268252666
HOTAIR,CRW2_23S_A_19_nH.db,0.6205250596658711
HOTAIR,CRW2_23S_A_1_nH.db,0.4658385093167702
HOTAIR,CRW2_23S_A_20_nH.db,0.5334427574887156
HOTAIR,CRW2_23S_A_21_nH.db,0.5749880210828942
HOTAIR,CRW2_23S_A_22_nH.db,0.5754212905877517
HOTAIR,CRW2_23S_A_23_nH.db,0.5066250974279034
HOTAIR,CRW2_23S_A_24_nH.db,0.6724303554274735
HOTAIR,CRW2_23S_A_25_nH.db,0.7033997655334114
HOTAIR,CRW2_23S_A_29_nH.db,0.52
HOTAIR,CRW2_23S_A_30_nH.db,0.4876219054763691
HOTAIR,CRW2_23S_A_31_nH.db,0.4657661853749418
HOTAIR,CRW2_23S_A_32_nH.db,0.5399151561897416
HOTAIR,CRW2_23S_A_33_nH.db,0.5695301376364499
HOTAIR,CRW2_23S_A_34_nH.db,0.4484304932735426
HOTAIR,CRW2_23S_A_35_nH.db,0.5672609400324149
HOTAIR,CRW2_23S_A_37_nH.db,0.6289308176100629
HOTAIR,CRW2_23S_A_39_nH.db,0.5376344086021505
HOTAIR,CRW2_23S_A_3_nH.db,0.4205467107239411
HOTAIR,CRW2_23S_A_40_nH.db,0.5094043887147336
HOTAIR,CRW2_23S_A_41_nH.db,0.5177220230983672
HOTAIR,CRW2_23S_A_42_nH.db,0.4889056036103798
HOTAIR,CRW2_23S_A_44_nH.db,0.48291233283803864
HOTAIR,CRW2_23S_A_47_nH.db,0.4894578313253012
HOTAIR,CRW2_23S_A_48_nH.db,0.477516912057302
HOTAIR,CRW2_23S_A_4_nH.db,0.4421983575489577
HOTAIR,CRW2_23S_A_5_nH.db,0.43103448275862066
HOTAIR,CRW2_23S_A_6_nH.db,0.5351996706463565
HOTAIR,CRW2_23S_A_7_nH.db,0.5285920230658337
HOTAIR,CRW2_23S_B_101_nH.db,0.7827788649706457
HOTAIR,CRW2_23S_B_105_nH.db,0.7827788649706457
HOTAIR,CRW2_23S_B_109_nH.db,0.6331618519984171
HOTAIR,CRW2_23S_B_110_nH.db,0.6010171058714748
HOTAIR,CRW2_23S_B_111_nH.db,0.48417132216014896
HOTAIR,CRW2_23S_B_115_nH.db,0.5896805896805897
HOTAIR,CRW2_23S_B_118_nH.db,0.53696819496076
HOTAIR,CRW2_23S_B_119_nH.db,0.5520504731861199
HOTAIR,CRW2_23S_B_120_nH.db,0.5802707930367504
HOTAIR,CRW2_23S_B_121_nH.db,0.5700712589073634
HOTAIR,CRW2_23S_B_122_nH.db,0.5670311867152693
HOTAIR,CRW2_23S_B_127_nH.db,0.506033476060724
HOTAIR,CRW2_23S_B_128_nH.db,0.5261027923917442
HOTAIR,CRW2_23S_B_129_nH.db,0.6166982922201139
HOTAIR,CRW2_23S_B_133_nH.db,0.49554013875123887
HOTAIR,CRW2_23S_B_148_nH.db,0.5004170141784821
HOTAIR,CRW2_23S_B_149_nH.db,0.5544554455445545
HOTAIR,CRW2_23S_B_150_nH.db,0.6825938566552902
HOTAIR,CRW2_23S_B_151_nH.db,0.5955107650022904
HOTAIR,CRW2_23S_B_152_nH.db,0.5148951820522251
HOTAIR,CRW2_23S_B_153_nH.db,0.5870841487279843
HOTAIR,CRW2_23S_B_154_nH.db,0.4692999608916699
HOTAIR,CRW2_23S_B_155_nH.db,0.5291005291005291
HOTAIR,CRW2_23S_B_156_nH.db,0.6823351023502654
HOTAIR,CRW2_23S_B_157_nH.db,0.4914004914004914
HOTAIR,CRW2_23S_B_158_nH.db,0.48348106365834004
HOTAIR,CRW2_23S_B_159_nH.db,0.5641748942172073
HOTAIR,CRW2_23S_B_163_nH.db,0.574052812858783
HOTAIR,CRW2_23S_B_164_nH.db,0.6057781919850885
HOTAIR,CRW2_23S_B_165_nH.db,0.5214600882470919
HOTAIR,CRW2_23S_B_187_nH.db,0.472212132219397
HOTAIR,CRW2_23S_B_188_nH.db,0.5866425992779783
HOTAIR,CRW2_23S_B_189_nH.db,0.5044625533566163
HOTAIR,CRW2_23S_B_193_nH.db,0.4880429477794046
HOTAIR,CRW2_23S_B_194_nH.db,0.458906967042136
HOTAIR,CRW2_23S_B_195_nH.db,0.47581284694686754
HOTAIR,CRW2_23S_B_199_nH.db,0.5409304002884963
HOTAIR,CRW2_23S_B_200_nH.db,0.5388760585065435
HOTAIR,CRW2_23S_B_201_nH.db,0.5800981704596162
HOTAIR,CRW2_23S_B_208_nH.db,0.527306967984934
HOTAIR,CRW2_23S_B_209_nH.db,0.5513981882630957
HOTAIR,CRW2_23S_B_210_nH.db,0.6442705936493327
HOTAIR,CRW2_23S_B_238_nH.db,0.5555555555555556
HOTAIR,CRW2_23S_B_239_nH.db,0.6806028196402528
HOTAIR,CRW2_23S_B_240_nH.db,0.5387484459179445
HOTAIR,CRW2_23S_B_241_nH.db,0.5420054200542005
HOTAIR,CRW2_23S_B_242_nH.db,0.47341587764020393
HOTAIR,CRW2_23S_B_243_nH.db,0.5813953488372093
HOTAIR,CRW2_23S_B_250_nH.db,0.4744525547445255
HOTAIR,CRW2_23S_B_251_nH.db,0.5822981366459627
HOTAIR,CRW2_23S_B_252_nH.db,0.5444646098003629
HOTAIR,CRW2_23S_B_253_nH.db,0.5700712589073634
HOTAIR,CRW2_23S_B_254_nH.db,0.48602673147023084
HOTAIR,CRW2_23S_B_255_nH.db,0.5834305717619603
HOTAIR,CRW2_23S_B_260_nH.db,0.684931506849315
