S1,S2,EditDistance,GlobalComparison,LocalComparison
FASTA1YMO,FASTA2K95,97.91666666666666,95.83333333333333,95.83333333333333
FASTA1YMO,FASTA2M8K,47.916666666666664,2.0833333333333335,16.666666666666668
FASTA1YMO,FASTA4PLX,36.8421052631579,-23.68421052631579,10.526315789473685
FASTA1YMO,FASTAhTER,29.55974842767296,-40.880503144654085,18.238993710691823
FASTA1YMO,FASTAMALAT1,31.182795698924725,-35.483870967741936,8.602150537634408
FASTA1YMO,FASTAPAN1,33.333333333333336,-24.56140350877193,14.035087719298245
FASTA1YMO,FASTAPAN2,26.923076923076927,-26.923076923076923,11.538461538461538
FASTA2K95,FASTA2M8K,47.916666666666664,2.0833333333333335,16.666666666666668
FASTA2K95,FASTA4PLX,36.8421052631579,-23.68421052631579,10.526315789473685
FASTA2K95,FASTAhTER,30.188679245283023,-39.62264150943396,18.238993710691823
FASTA2K95,FASTAMALAT1,31.182795698924725,-35.483870967741936,8.602150537634408
FASTA2K95,FASTAPAN1,31.57894736842105,-26.31578947368421,14.035087719298245
FASTA2K95,FASTAPAN2,25.0,-28.846153846153847,11.538461538461538
FASTA2M8K,FASTA4PLX,31.57894736842105,-35.526315789473685,7.894736842105263
FASTA2M8K,FASTAhTER,23.27044025157232,-53.459119496855344,5.031446540880503
FASTA2M8K,FASTAMALAT1,29.032258064516125,-40.86021505376344,6.451612903225806
FASTA2M8K,FASTAPAN1,26.315789473684216,-38.59649122807018,8.771929824561404
FASTA2M8K,FASTAPAN2,25.0,-36.53846153846154,9.615384615384615
FASTA4PLX,FASTAhTER,29.55974842767296,-40.880503144654085,5.031446540880503
FASTA4PLX,FASTAMALAT1,76.34408602150538,53.763440860215056,54.83870967741935
FASTA4PLX,FASTAPAN1,52.63157894736843,6.578947368421052,18.42105263157895
FASTA4PLX,FASTAPAN2,44.73684210526315,-9.210526315789474,10.526315789473685
FASTAhTER,FASTAMALAT1,30.188679245283023,-38.36477987421384,6.289308176100629
FASTAhTER,FASTAPAN1,23.899371069182386,-52.20125786163522,5.031446540880503
FASTAhTER,FASTAPAN2,20.75471698113207,-57.861635220125784,3.7735849056603774
FASTAMALAT1,FASTAPAN1,45.16129032258065,-9.67741935483871,13.978494623655914
FASTAMALAT1,FASTAPAN2,37.634408602150536,-24.731182795698924,8.602150537634408
FASTAPAN1,FASTAPAN2,61.40350877192983,24.56140350877193,35.08771929824562
