S1,S2,EditDistance,GlobalComparison,LocalComparison
FASTA1YMO,FASTA2K95,96.96969696969697,93.93939393939394,93.93939393939394
FASTA1YMO,FASTA2M8K,40.625,-6.25,18.75
FASTA1YMO,FASTA4PLX,47.05882352941176,-5.882352941176471,15.686274509803921
FASTA1YMO,FASTAhTER,27.118644067796616,-45.76271186440678,20.338983050847457
FASTA1YMO,FASTAMALAT1,35.9375,-25.0,12.5
FASTA1YMO,FASTAPAN1,41.463414634146346,-9.75609756097561,14.634146341463415
FASTA1YMO,FASTAPAN2,34.285714285714285,-20.0,14.285714285714286
FASTA2K95,FASTA2M8K,45.45454545454546,0.0,18.181818181818183
FASTA2K95,FASTA4PLX,45.09803921568627,-7.8431372549019605,15.686274509803921
FASTA2K95,FASTAhTER,27.966101694915256,-44.067796610169495,20.338983050847457
FASTA2K95,FASTAMALAT1,35.9375,-25.0,12.5
FASTA2K95,FASTAPAN1,41.463414634146346,-9.75609756097561,14.634146341463415
FASTA2K95,FASTAPAN2,31.428571428571427,-22.857142857142858,14.285714285714286
FASTA2M8K,FASTA4PLX,37.254901960784316,-23.529411764705884,11.764705882352942
FASTA2M8K,FASTAhTER,22.033898305084744,-55.932203389830505,5.084745762711864
FASTA2M8K,FASTAMALAT1,32.8125,-34.375,9.375
FASTA2M8K,FASTAPAN1,34.14634146341463,-29.26829268292683,12.195121951219512
FASTA2M8K,FASTAPAN2,34.285714285714285,-17.142857142857142,14.285714285714286
FASTA4PLX,FASTAhTER,32.20338983050848,-34.74576271186441,6.779661016949152
FASTA4PLX,FASTAMALAT1,73.4375,48.4375,50.0
FASTA4PLX,FASTAPAN1,54.90196078431373,11.764705882352942,23.529411764705884
FASTA4PLX,FASTAPAN2,39.21568627450981,-21.568627450980394,11.764705882352942
FASTAhTER,FASTAMALAT1,35.59322033898306,-26.271186440677965,6.779661016949152
FASTAhTER,FASTAPAN1,25.423728813559322,-49.152542372881356,5.084745762711864
FASTAhTER,FASTAPAN2,20.33898305084746,-59.32203389830509,4.237288135593221
FASTAMALAT1,FASTAPAN1,48.4375,-3.125,15.625
FASTAMALAT1,FASTAPAN2,34.375,-31.25,9.375
FASTAPAN1,FASTAPAN2,46.34146341463414,-4.878048780487805,19.51219512195122
