Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database, Description, Benchmark ID, Reference
Escherichia coli, 1b23,74,34,40, Yes,1, tRNA,1, (([)()(])), (([)()(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1b23,PDB_tRNA_B_1499, --
--, 1bz2,17,7,10, No,0, tRNA,0, (), (), --, Yes, PDB, https://www.rcsb.org/structure/1bz2, PDB_tRNA_U_1500, --
--, 1bz3,17,5,12, No,0, tRNA,0, (), (()), --, Yes, PDB, https://www.rcsb.org/structure/1bz3, PDB_tRNA_U_1501, --
--, 1bzt,17,9,8, No,0, tRNA,0, (), (), --, Yes, PDB, https://www.rcsb.org/structure/1bzt, PDB_tRNA_U_1502, --
--, 1bzu,17,9,8, No,0, tRNA,0, (), (), --, Yes, PDB, https://www.rcsb.org/structure/1bzu, PDB_tRNA_U_1503, --
Escherichia coli, 1c0a,77,35,42, Yes,1, tRNA,1, (([)()(])), (([)()(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1c0a,PDB_tRNA_B_1504, --
Escherichia coli, 1efw,73,31,42, Yes,1, tRNA,1, (([)()(])), (([)()(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1efw,PDB_tRNA_B_1505, --
Thermus thermophilus, 1eiy,76,32,44, Yes,1, tRNA,1, (([)()(])), (([)()(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1eiy,PDB_tRNA_B_1507, --
--, 1euq,72,34,38, Yes,1, tRNA,1, (([)()(])), (([)(())(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1euq, PDB_tRNA_U_1508, --
--, 1euy,73,33,40, Yes,1, tRNA,1, (([)()(])), (([)()(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1euy, PDB_tRNA_U_1509, --
--, 1exd,73,33,40, Yes,1, tRNA,1, (([)()(])), (([)()(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1exd, PDB_tRNA_U_1510, --
--, 1f7u,76,38,38, Yes,1, tRNA,1, (([)()(])), (([)()(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1f7u, PDB_tRNA_U_1511, --
--, 1f7v,73,35,38, Yes,1, tRNA,1, (([)()(])), (([)()(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1f7v, PDB_tRNA_U_1512, --
Saccharomyces cerevisiae, 1fcw,76,34,42, Yes,1, tRNA,1, (([)()(])), (([)()(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1fcw,PDB_tRNA_E_1513, --
--, 1ffy,75,31,44, Yes,1, tRNA,1, (([)()(])), (([)()(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1ffy, PDB_tRNA_U_1514, --
--, 1g59,75,31,44, Yes,1, tRNA,1, (([)()(])), (([)()(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1g59, PDB_tRNA_U_1515, --
--, 1gax,75,33,42, Yes,1, tRNA,1, (([)()(])), (([)()(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1gax, PDB_tRNA_U_1516, --
Escherichia coli, 1gts,74,34,40, Yes,1, tRNA,1, (([)()(])), (([)()(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1gts,PDB_tRNA_B_1518, --
--, 1ivs,75,31,44, Yes,1, tRNA,1, (([)()(])), (([)()(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1ivs, PDB_tRNA_U_236, --
--, 1j1u,74,30,44, Yes,1, tRNA,1, (([)()(])), (([)()(])), (([)(])), Yes, PDB, https://www.rcsb.org/structure/1j1u, PDB_tRNA_U_237, --
--, 1j2b,77,39,38, No,0, tRNA,0, (()()), ((())()), --, Yes, PDB, https://www.rcsb.org/structure/1j2b, PDB_tRNA_U_238, --
