Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference
Acanthamoeba castellanii,U03732,846,696,76,Yes,1,Group I Introns,1,()()(()()[)()](),()()(((((()))))((()))[[)()]](()),([)],No,CRW2,--,CRW2_GII_E_20,--
Acanthamoeba griffini,U57101,556,294,131,Yes,1,Group I Introns,1,()()()(((()())())()[)()](()()),()(((())))()((((((((())(()))))()))(())[[))()]]((())(())),([)],No,CRW2,--,CRW2_GII_E_65,--
Acanthamoeba griffini,U57102,526,262,133,Yes,1,Group I Introns,1,()()()(((()())())()[)()](()()),()((()))()(((((((())(()))))()))(())[[)()]]((())(())),([)],No,CRW2,--,CRW2_GII_E_66,--
Agrobacterium tumefaciens,X73672,244,100,72,Yes,1,Group I Introns,1,()()(()()[)()](()()),()(())(((()))(())[[)(())]]((())()),([)],No,CRW2,--,CRW2_GII_E_35,--
Agrocybe aegerita,X62396,1424,1246,90,Yes,1,Group I Introns,1,()(((()())())()[)()](),()((((((((())())))())))(())[[[)()]]](()),([)],No,CRW2,--,CRW2_GII_E_144,--
Ajellomyces capsulatus,--,408,166,122,Yes,1,Group I Introns,1,()(()())()(((()())())()[)()](()()),((()))(()())()((((((())(())))()))(((())))[[)(())]](()()),([)],No,CRW2,--,CRW2_GII_E_61,--
Ajellomyces capsulatus,Z50840,428,184,123,Yes,1,Group I Introns,1,()(()())()(((()())())()[)()](()()),((()))(()())()((((((((()))(()))))()))(((())))[[)(())]](()()),([)],No,CRW2,--,CRW2_GII_E_62,--
Ajellomyces capsulatus,U51950,425,185,121,Yes,1,Group I Introns,1,()(()())()(((()())())()[)()]()(),((()))(()())()((((((((()))(()))))()))(((())))[)(())]()(),([)],No,CRW2,--,CRW2_GII_E_63,--
Ajellomyces capsulatus,Z75305,425,185,121,Yes,1,Group I Introns,1,()(()())()(((()())())()[)()]()(),((()))(()())()((((((((()))(()))))()))(((())))[)(())]()(),([)],No,CRW2,--,CRW2_GII_E_64,--
Anabaena azollae,M15669,353,181,86,Yes,1,Group I Introns,1,()()(()()[)()](()()),()()(((()))((((()))))[[)()]]((())()),([)],No,CRW2,--,CRW2_GII_E_34,--
