Molecola1,Molecola2, GlobalComparison
HOTAIR,CRW2_16S_E_698_nH.db,-4.570383912248629
HOTAIR,CRW2_16S_E_708_nH.db,-17.01492537313433
HOTAIR,CRW2_16S_E_775_nH.db,-12.560386473429952
HOTAIR,CRW2_23S_A_17_nH.db,-65.76699692517937
HOTAIR,CRW2_23S_A_18_nH.db,-63.667582417582416
HOTAIR,CRW2_23S_A_19_nH.db,-63.46153846153846
HOTAIR,CRW2_23S_A_1_nH.db,-66.17797476986021
HOTAIR,CRW2_23S_A_20_nH.db,-63.853775196446875
HOTAIR,CRW2_23S_A_21_nH.db,-63.648787154082676
HOTAIR,CRW2_23S_A_22_nH.db,-63.67697594501718
HOTAIR,CRW2_23S_A_23_nH.db,-65.55631868131869
HOTAIR,CRW2_23S_A_24_nH.db,-63.43642611683849
HOTAIR,CRW2_23S_A_25_nH.db,-65.63573883161511
HOTAIR,CRW2_23S_A_29_nH.db,-64.82278900298112
HOTAIR,CRW2_23S_A_30_nH.db,-66.7770785028155
HOTAIR,CRW2_23S_A_31_nH.db,-64.75654190129183
HOTAIR,CRW2_23S_A_32_nH.db,-65.95672751859364
HOTAIR,CRW2_23S_A_33_nH.db,-64.02974983096686
HOTAIR,CRW2_23S_A_34_nH.db,-66.688567674113
HOTAIR,CRW2_23S_A_35_nH.db,-64.23258958755916
HOTAIR,CRW2_23S_A_37_nH.db,-63.41127922971114
HOTAIR,CRW2_23S_A_39_nH.db,-63.61760660247593
HOTAIR,CRW2_23S_A_3_nH.db,-72.5331170586645
HOTAIR,CRW2_23S_A_40_nH.db,-65.81843191196698
HOTAIR,CRW2_23S_A_41_nH.db,-65.00495212941564
HOTAIR,CRW2_23S_A_42_nH.db,-66.75470452294486
HOTAIR,CRW2_23S_A_44_nH.db,-66.79700228087324
HOTAIR,CRW2_23S_A_47_nH.db,-66.61167931375783
HOTAIR,CRW2_23S_A_48_nH.db,-65.02804354998351
HOTAIR,CRW2_23S_A_4_nH.db,-71.28953771289538
HOTAIR,CRW2_23S_A_5_nH.db,-65.64543889845095
HOTAIR,CRW2_23S_A_6_nH.db,-63.580034423407916
HOTAIR,CRW2_23S_A_7_nH.db,-63.373493975903614
HOTAIR,CRW2_23S_B_101_nH.db,-63.43642611683849
HOTAIR,CRW2_23S_B_105_nH.db,-63.43642611683849
HOTAIR,CRW2_23S_B_109_nH.db,-65.42361792607132
HOTAIR,CRW2_23S_B_110_nH.db,-65.19463526333006
HOTAIR,CRW2_23S_B_111_nH.db,-67.09192018318613
HOTAIR,CRW2_23S_B_115_nH.db,-63.39869281045752
HOTAIR,CRW2_23S_B_118_nH.db,-63.51397997928892
HOTAIR,CRW2_23S_B_119_nH.db,-65.30894028305143
HOTAIR,CRW2_23S_B_120_nH.db,-63.27235070762858
HOTAIR,CRW2_23S_B_121_nH.db,-63.80952380952381
HOTAIR,CRW2_23S_B_122_nH.db,-63.87755102040816
HOTAIR,CRW2_23S_B_127_nH.db,-65.27210884353741
HOTAIR,CRW2_23S_B_128_nH.db,-63.87755102040816
HOTAIR,CRW2_23S_B_129_nH.db,-63.80952380952381
HOTAIR,CRW2_23S_B_133_nH.db,-63.05555555555556
HOTAIR,CRW2_23S_B_148_nH.db,-63.26601671309192
HOTAIR,CRW2_23S_B_149_nH.db,-65.35515320334262
HOTAIR,CRW2_23S_B_150_nH.db,-62.95264623955432
HOTAIR,CRW2_23S_B_151_nH.db,-65.66634398192966
HOTAIR,CRW2_23S_B_152_nH.db,-67.40884156179413
HOTAIR,CRW2_23S_B_153_nH.db,-65.85995482413682
HOTAIR,CRW2_23S_B_154_nH.db,-65.47131147540983
HOTAIR,CRW2_23S_B_155_nH.db,-63.66120218579235
HOTAIR,CRW2_23S_B_156_nH.db,-66.54448517160947
HOTAIR,CRW2_23S_B_157_nH.db,-63.86612021857923
HOTAIR,CRW2_23S_B_158_nH.db,-64.7450849716761
HOTAIR,CRW2_23S_B_159_nH.db,-64.54515161612795
HOTAIR,CRW2_23S_B_163_nH.db,-66.27358490566037
HOTAIR,CRW2_23S_B_164_nH.db,-64.15094339622641
HOTAIR,CRW2_23S_B_165_nH.db,-64.28571428571429
HOTAIR,CRW2_23S_B_187_nH.db,-67.58488148622678
HOTAIR,CRW2_23S_B_188_nH.db,-65.91928251121077
HOTAIR,CRW2_23S_B_189_nH.db,-66.11146700832799
HOTAIR,CRW2_23S_B_193_nH.db,-62.926829268292686
HOTAIR,CRW2_23S_B_194_nH.db,-63.31010452961672
HOTAIR,CRW2_23S_B_195_nH.db,-65.29616724738676
HOTAIR,CRW2_23S_B_199_nH.db,-67.59082217973231
HOTAIR,CRW2_23S_B_200_nH.db,-66.2842574888464
HOTAIR,CRW2_23S_B_201_nH.db,-66.09305289993627
HOTAIR,CRW2_23S_B_208_nH.db,-66.09442060085837
HOTAIR,CRW2_23S_B_209_nH.db,-65.00495212941564
HOTAIR,CRW2_23S_B_210_nH.db,-64.87289534499835
