Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database, Description, Benchmark ID, Reference
Acinetobacter baumannii, 7ryf,115,55,60, No,0, 5S,0, (()()), (((((()))))(())), --, Yes, PDB, https://www.rcsb.org/structure/7ryf, PDB_5S_B_1189, --
Acinetobacter baumannii, 7ryh,115,55,60, No,0, 5S,0, (()()), (((((()))))(())), --, Yes, PDB, https://www.rcsb.org/structure/7ryh, PDB_5S_B_1190, --
Acinetobacter baumannii, 7ryg,115,55,60, No,0, 5S,0, (()()), (((((()))))(())), --, Yes, PDB, https://www.rcsb.org/structure/7ryg, PDB_5S_B_1191, --
Acinetobacter baumannii, 6yhs,115,55,60, No,0, 5S,0, (()()), ((((((()))))(()))), --, Yes, PDB, https://www.rcsb.org/structure/6yhs, PDB_5S_B_1462, --
Acinetobacter baumannii, 6ysi,115,49,66, No,0, 5S,0, (()()), (((((()))))(())), --, Yes, PDB, https://www.rcsb.org/structure/6ysi, PDB_5S_B_1466, --
Bacillus subtilis, 8qcq,112,50,62, No,0, 5S,0, (()()), (((((()))))((()))), --, Yes, PDB, https://www.rcsb.org/structure/8qcq, PDB_5S_B_379, --
Bacillus subtilis, 8qpp,112,50,62, No,0, 5S,0, (()()), (((((()))))((()))), --, Yes, PDB, https://www.rcsb.org/structure/8qpp, PDB_5S_B_385, --
Bacillus subtilis, 8r55,112,50,62, No,0, 5S,0, (()()), (((((()))))((()))), --, Yes, PDB, https://www.rcsb.org/structure/8r55, PDB_5S_B_388, --
Bacillus subtilis, 8s1p,112,50,62, No,0, 5S,0, (()()), (((((()))))((()))), --, Yes, PDB, https://www.rcsb.org/structure/8s1p, PDB_5S_B_407, --
Bacillus subtilis, 8s1u,112,48,64, No,0, 5S,0, (()()), (((((()))))(((())))), --, Yes, PDB, https://www.rcsb.org/structure/8s1u, PDB_5S_B_408, --
Bacillus subtilis, 6ppk,112,54,58, No,0, 5S,0, (()()), ((((((())))))((()))), --, Yes, PDB, https://www.rcsb.org/structure/6ppk, PDB_5S_B_538, --
