S1,S2,EditDistance,GlobalComparison,LocalComparison
FASTA1YMO,FASTA2K95,97.91666666666666,95.83333333333333,95.83333333333333
FASTA1YMO,FASTA2M8K,85.41666666666666,75.0,77.08333333333333
FASTA1YMO,FASTA4PLX,57.89473684210527,15.789473684210526,34.21052631578947
FASTA1YMO,FASTAhTER,29.55974842767296,-40.880503144654085,18.238993710691823
FASTA1YMO,FASTAMALAT1,47.31182795698925,-5.376344086021505,21.50537634408602
FASTA1YMO,FASTAPAN1,64.91228070175438,31.57894736842105,35.08771929824562
FASTA1YMO,FASTAPAN2,50.0,5.769230769230769,25.0
FASTA2K95,FASTA2M8K,85.41666666666666,75.0,77.08333333333333
FASTA2K95,FASTA4PLX,57.89473684210527,15.789473684210526,32.89473684210526
FASTA2K95,FASTAhTER,30.188679245283023,-39.62264150943396,18.238993710691823
FASTA2K95,FASTAMALAT1,47.31182795698925,-5.376344086021505,21.50537634408602
FASTA2K95,FASTAPAN1,66.66666666666667,35.08771929824562,36.8421052631579
FASTA2K95,FASTAPAN2,51.92307692307692,5.769230769230769,23.076923076923077
FASTA2M8K,FASTA4PLX,59.210526315789465,18.42105263157895,39.473684210526315
FASTA2M8K,FASTAhTER,27.672955974842772,-44.65408805031446,13.836477987421384
FASTA2M8K,FASTAMALAT1,48.38709677419355,-3.225806451612903,25.806451612903224
FASTA2M8K,FASTAPAN1,59.64912280701755,21.05263157894737,33.333333333333336
FASTA2M8K,FASTAPAN2,48.07692307692307,1.9230769230769231,25.0
FASTA4PLX,FASTAhTER,38.9937106918239,-21.38364779874214,12.578616352201259
FASTA4PLX,FASTAMALAT1,79.56989247311827,60.215053763440864,61.29032258064516
FASTA4PLX,FASTAPAN1,64.47368421052632,30.263157894736842,35.526315789473685
FASTA4PLX,FASTAPAN2,52.63157894736843,7.894736842105263,22.36842105263158
FASTAhTER,FASTAMALAT1,49.685534591194966,-0.6289308176100629,22.641509433962263
FASTAhTER,FASTAPAN1,32.704402515723274,-34.59119496855346,15.09433962264151
FASTAhTER,FASTAPAN2,25.786163522012583,-48.42767295597484,10.062893081761006
FASTAMALAT1,FASTAPAN1,59.13978494623655,18.27956989247312,31.182795698924732
FASTAMALAT1,FASTAPAN2,47.31182795698925,-5.376344086021505,12.903225806451612
FASTAPAN1,FASTAPAN2,77.19298245614034,54.3859649122807,59.64912280701754
