Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID2,Reference
Glycine max,DQ317523,74,30,23,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_32887,--
Glyphothecium gracile,DQ194220,60,40,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_11848,--
Glyphothecium sciuroides,DQ194221,58,38,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_11324,--
Glyphothecium sciuroides,AY306753,39,27,6,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_14569,--
Glyphothecium sciuroides,AF161109,60,40,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_14788,--
Glyptostrobus pensilis,AB029852,40,28,6,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_14671,--
Glyptostrobus pensilis,AY727492,70,26,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_16545,--
Gnetum acutum,AY296485,40,28,6,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_13472,--
Gnetum aff,AY296495,60,40,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_13478,--
Gnetum aff,AY296508,55,35,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_13374,--
Gnetum aff,AY296507,59,39,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_9750,--
Gnetum aff,AY296512,12,12,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_15181,--
Gnetum aff,AY296513,16,16,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_15738,--
Gnetum aff,AY296519,40,28,6,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_13794,--
Gnetum africanum,AY296487,55,35,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_14561,--
Gnetum africanum,AY296486,55,35,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_15935,--
Gnetum costatum,AY296488,39,29,5,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_12387,--
Gnetum cuspidatum,AY296489,16,16,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_10998,--
Gnetum cuspidatum,AY296490,16,16,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_11373,--
Gnetum gnemon,AJ007508,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_1489,--
Gnetum gnemon,AY296493,55,35,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_8986,--
Gnetum gnemon,AY296494,55,35,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_12948,--
Gnetum gnemon,AY849369,38,30,4,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_tRNA_N_19048,--
Gnetum gnemon,AJ007508,72,28,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_21371,--
Gnetum gnemon,AY449620,41,29,6,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_tRNA_N_26515,--
Gnetum gnemonoides,AY296497,60,40,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_14557,--
Gnetum gnemonoides,AY296496,44,24,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_15946,--
Gnetum hainanense,AY296499,14,14,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_11005,--
Gnetum hainanense,AY296498,20,20,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_12380,--
Gnetum hainanense,AY296501,17,17,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_12782,--
Gnetum hainanense,AY296500,16,16,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_14118,--
Gnetum hainanense,AY296502,12,12,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_15193,--
Gnetum klossii,AY296504,40,28,6,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_12046,--
Gnetum klossii,AY296503,40,28,6,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_15733,--
