Col0_Fisso,Col1_Fisso,Col0_Riga,Col1_Riga,ValoreAllineamento,Allineamento_Fisso,Allineamento_Riga
SequenzaFissa,SequenzaFissa,Escherichia coli,1b23,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1bz2,1,"(((,5) <-> (),6))","(((,0) <-> (),1))"
SequenzaFissa,SequenzaFissa,--,1bz3,2,"(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),3)),(((,1) <-> (),2))"
SequenzaFissa,SequenzaFissa,--,1bzt,1,"(((,5) <-> (),6))","(((,0) <-> (),1))"
SequenzaFissa,SequenzaFissa,--,1bzu,1,"(((,5) <-> (),6))","(((,0) <-> (),1))"
SequenzaFissa,SequenzaFissa,Escherichia coli,1c0a,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,Escherichia coli,1efw,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,Thermus thermophilus,1eiy,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1euq,3,"(((,1) <-> (),4)),(((,2) <-> (),3)),(((,5) <-> (),6))","(((,4) <-> (),7)),(((,5) <-> (),6)),(((,8) <-> (),10))"
SequenzaFissa,SequenzaFissa,--,1euy,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1exd,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1f7u,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1f7v,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,Saccharomyces cerevisiae,1fcw,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1ffy,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1g59,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1gax,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,Escherichia coli,1gts,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1ivs,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1j1u,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1j2b,4,"(((,0) <-> (),7)),(((,1) <-> (),4)),(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),7)),(((,1) <-> (),4)),(((,2) <-> (),3)),(((,5) <-> (),6))"
SequenzaFissa,SequenzaFissa,--,1jgo,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1jgo,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1jgp,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1jgp,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1jgq,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1jgq,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,Escherichia coli,1mj1,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1n77,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
SequenzaFissa,SequenzaFissa,--,1n78,3,"(((,0) <-> (),7)),(((,1) <-> (),4)),_,(((,2) <-> (),3)),(((,5) <-> (),6))","(((,0) <-> (),9)),(((,1) <-> (),3)),(([,2) <-> (],7)),(((,4) <-> (),5)),(((,6) <-> (),8))"
