Molecola1,Molecola2, EditDistance
HOTAIR,CRW2_16S_E_698_nH.db,46.61791590493601
HOTAIR,CRW2_16S_E_708_nH.db,40.746268656716424
HOTAIR,CRW2_16S_E_775_nH.db,43.15619967793881
HOTAIR,CRW2_23S_A_17_nH.db,17.04817218995559
HOTAIR,CRW2_23S_A_18_nH.db,18.166208791208792
HOTAIR,CRW2_23S_A_19_nH.db,18.26923076923077
HOTAIR,CRW2_23S_A_1_nH.db,16.808728264575524
HOTAIR,CRW2_23S_A_20_nH.db,18.07311240177656
HOTAIR,CRW2_23S_A_21_nH.db,18.17560642295866
HOTAIR,CRW2_23S_A_22_nH.db,18.14432989690722
HOTAIR,CRW2_23S_A_23_nH.db,17.170329670329664
HOTAIR,CRW2_23S_A_24_nH.db,18.28178694158076
HOTAIR,CRW2_23S_A_25_nH.db,17.113402061855666
HOTAIR,CRW2_23S_A_29_nH.db,17.588605498509434
HOTAIR,CRW2_23S_A_30_nH.db,16.594898973169926
HOTAIR,CRW2_23S_A_31_nH.db,17.621729049354094
HOTAIR,CRW2_23S_A_32_nH.db,16.9709263015551
HOTAIR,CRW2_23S_A_33_nH.db,17.98512508451656
HOTAIR,CRW2_23S_A_34_nH.db,16.590013140604466
HOTAIR,CRW2_23S_A_35_nH.db,17.883705206220423
HOTAIR,CRW2_23S_A_37_nH.db,18.294360385144426
HOTAIR,CRW2_23S_A_39_nH.db,18.191196698762035
HOTAIR,CRW2_23S_A_3_nH.db,13.706407137064069
HOTAIR,CRW2_23S_A_40_nH.db,16.987620357634114
HOTAIR,CRW2_23S_A_41_nH.db,17.49752393529218
HOTAIR,CRW2_23S_A_42_nH.db,16.54011224826676
HOTAIR,CRW2_23S_A_44_nH.db,16.55262300423591
HOTAIR,CRW2_23S_A_47_nH.db,16.628175519630485
HOTAIR,CRW2_23S_A_48_nH.db,17.485978225008246
HOTAIR,CRW2_23S_A_4_nH.db,14.355231143552317
HOTAIR,CRW2_23S_A_5_nH.db,17.14285714285714
HOTAIR,CRW2_23S_A_6_nH.db,18.209982788296042
HOTAIR,CRW2_23S_A_7_nH.db,18.313253012048193
HOTAIR,CRW2_23S_B_101_nH.db,18.28178694158076
HOTAIR,CRW2_23S_B_105_nH.db,18.28178694158076
HOTAIR,CRW2_23S_B_109_nH.db,17.271835132482828
HOTAIR,CRW2_23S_B_110_nH.db,17.402682368334965
HOTAIR,CRW2_23S_B_111_nH.db,16.355904481517825
HOTAIR,CRW2_23S_B_115_nH.db,18.300653594771244
HOTAIR,CRW2_23S_B_118_nH.db,18.225750776665517
HOTAIR,CRW2_23S_B_119_nH.db,17.259233690024168
HOTAIR,CRW2_23S_B_120_nH.db,18.363824646185712
HOTAIR,CRW2_23S_B_121_nH.db,18.0952380952381
HOTAIR,CRW2_23S_B_122_nH.db,18.06122448979591
HOTAIR,CRW2_23S_B_127_nH.db,17.278911564625854
HOTAIR,CRW2_23S_B_128_nH.db,18.06122448979591
HOTAIR,CRW2_23S_B_129_nH.db,18.0952380952381
HOTAIR,CRW2_23S_B_133_nH.db,18.47222222222222
HOTAIR,CRW2_23S_B_148_nH.db,18.34958217270195
HOTAIR,CRW2_23S_B_149_nH.db,17.23537604456824
HOTAIR,CRW2_23S_B_150_nH.db,18.52367688022284
HOTAIR,CRW2_23S_B_151_nH.db,17.16682800903517
HOTAIR,CRW2_23S_B_152_nH.db,16.231042271700545
HOTAIR,CRW2_23S_B_153_nH.db,17.07002258793159
HOTAIR,CRW2_23S_B_154_nH.db,17.213114754098356
HOTAIR,CRW2_23S_B_155_nH.db,18.16939890710383
HOTAIR,CRW2_23S_B_156_nH.db,16.661112962345882
HOTAIR,CRW2_23S_B_157_nH.db,18.066939890710387
HOTAIR,CRW2_23S_B_158_nH.db,17.627457514161947
HOTAIR,CRW2_23S_B_159_nH.db,17.727424191936024
HOTAIR,CRW2_23S_B_163_nH.db,16.778975741239886
HOTAIR,CRW2_23S_B_164_nH.db,17.924528301886788
HOTAIR,CRW2_23S_B_165_nH.db,17.85714285714286
HOTAIR,CRW2_23S_B_187_nH.db,16.143497757847534
HOTAIR,CRW2_23S_B_188_nH.db,17.040358744394624
HOTAIR,CRW2_23S_B_189_nH.db,16.944266495836004
HOTAIR,CRW2_23S_B_193_nH.db,18.536585365853664
HOTAIR,CRW2_23S_B_194_nH.db,18.32752613240418
HOTAIR,CRW2_23S_B_195_nH.db,17.247386759581886
HOTAIR,CRW2_23S_B_199_nH.db,16.156787762906312
HOTAIR,CRW2_23S_B_200_nH.db,16.857871255576796
HOTAIR,CRW2_23S_B_201_nH.db,16.953473550031873
HOTAIR,CRW2_23S_B_208_nH.db,16.90326840541433
HOTAIR,CRW2_23S_B_209_nH.db,17.49752393529218
HOTAIR,CRW2_23S_B_210_nH.db,17.56355232750082
HOTAIR,CRW2_23S_B_238_nH.db,17.308359347901494
HOTAIR,CRW2_23S_B_239_nH.db,18.453000346860904
HOTAIR,CRW2_23S_B_240_nH.db,18.31425598335068
HOTAIR,CRW2_23S_B_241_nH.db,17.051282051282048
HOTAIR,CRW2_23S_B_242_nH.db,16.089743589743588
HOTAIR,CRW2_23S_B_243_nH.db,16.9551282051282
HOTAIR,CRW2_23S_B_250_nH.db,16.28205128205128
HOTAIR,CRW2_23S_B_251_nH.db,16.987179487179482
HOTAIR,CRW2_23S_B_252_nH.db,17.051282051282048
HOTAIR,CRW2_23S_B_253_nH.db,18.076792388719
HOTAIR,CRW2_23S_B_254_nH.db,18.04281345565749
HOTAIR,CRW2_23S_B_255_nH.db,17.19334012911995
HOTAIR,CRW2_23S_B_260_nH.db,18.497913769123787
HOTAIR,CRW2_23S_B_261_nH.db,17.315716272600834
HOTAIR,CRW2_23S_B_262_nH.db,18.35883171070932
HOTAIR,CRW2_23S_B_263_nH.db,17.186963979416813
HOTAIR,CRW2_23S_B_264_nH.db,18.250428816466556
HOTAIR,CRW2_23S_B_265_nH.db,18.113207547169807
HOTAIR,CRW2_23S_B_272_nH.db,18.113207547169807
HOTAIR,CRW2_23S_B_273_nH.db,18.250428816466556
HOTAIR,CRW2_23S_B_274_nH.db,17.221269296740992
HOTAIR,CRW2_23S_B_275_nH.db,17.17236927049709
HOTAIR,CRW2_23S_B_276_nH.db,17.0755326016785
HOTAIR,CRW2_23S_B_277_nH.db,16.52679147837315
HOTAIR,CRW2_23S_B_69_nH.db,18.181818181818176
HOTAIR,CRW2_23S_B_74_nH.db,18.45940319222762
HOTAIR,CRW2_23S_B_75_nH.db,17.453157529493414
HOTAIR,CRW2_23S_B_76_nH.db,18.35530881332408
HOTAIR,CRW2_23S_B_77_nH.db,18.406402226861516
HOTAIR,CRW2_23S_B_78_nH.db,17.362560890744604
HOTAIR,CRW2_23S_B_79_nH.db,18.510786360473208
HOTAIR,CRW2_23S_B_92_nH.db,18.256691832532603
HOTAIR,CRW2_23S_B_93_nH.db,17.227179135209337
HOTAIR,CRW2_23S_B_94_nH.db,18.119423472889494
HOTAIR,CRW2_23S_B_96_nH.db,18.28178694158076
HOTAIR,CRW2_23S_B_98_nH.db,18.370165745856347
HOTAIR,CRW2_23S_E_278_nH.db,18.119423472889494
HOTAIR,CRW2_23S_E_279_nH.db,17.021276595744684
HOTAIR,CRW2_23S_E_282_nH.db,18.131868131868135
HOTAIR,CRW2_23S_E_283_nH.db,16.99279093717817
HOTAIR,CRW2_23S_E_284_nH.db,15.715622076707202
HOTAIR,CRW2_23S_E_285_nH.db,15.605493133583026
HOTAIR,CRW2_23S_E_286_nH.db,16.510611735330837
HOTAIR,CRW2_23S_E_287_nH.db,18.15352697095436
HOTAIR,CRW2_23S_E_288_nH.db,17.116182572614104
HOTAIR,CRW2_23S_E_289_nH.db,17.939061965080448
HOTAIR,CRW2_23S_E_290_nH.db,17.08319068812051
HOTAIR,CRW2_23S_E_291_nH.db,18.07851239669421
HOTAIR,CRW2_23S_E_292_nH.db,17.07988980716253
HOTAIR,CRW2_23S_E_293_nH.db,18.041237113402065
HOTAIR,CRW2_23S_E_294_nH.db,16.917173009274066
HOTAIR,CRW2_23S_E_295_nH.db,17.044673539518897
HOTAIR,CRW2_23S_E_296_nH.db,15.98976654940838
HOTAIR,CRW2_23S_E_297_nH.db,16.72285906945381
HOTAIR,CRW2_23S_E_298_nH.db,17.700606877950097
HOTAIR,CRW2_23S_E_299_nH.db,17.14384270438082
HOTAIR,CRW2_23S_E_300_nH.db,18.075198344256638
HOTAIR,CRW2_23S_E_301_nH.db,17.985611510791365
HOTAIR,CRW2_23S_E_302_nH.db,16.923603973963687
HOTAIR,CRW2_23S_E_303_nH.db,16.593337523570085
HOTAIR,CRW2_23S_E_304_nH.db,15.713387806411061
HOTAIR,CRW2_23S_E_306_nH.db,17.702702702702698
HOTAIR,CRW2_23S_E_307_nH.db,16.60589990056347
HOTAIR,CRW2_23S_E_308_nH.db,17.368246602585348
HOTAIR,CRW2_23S_E_312_nH.db,16.762452107279692
HOTAIR,CRW2_23S_E_313_nH.db,15.836526181353772
HOTAIR,CRW2_23S_E_314_nH.db,17.76649746192893
HOTAIR,CRW2_23S_E_315_nH.db,16.785109983079526
HOTAIR,CRW2_23S_E_321_nH.db,17.02200825309491
HOTAIR,CRW2_23S_E_322_nH.db,18.15680880330124
HOTAIR,CRW2_23S_E_323_nH.db,17.021276595744684
HOTAIR,CRW2_23S_E_324_nH.db,18.119423472889494
HOTAIR,CRW2_23S_E_325_nH.db,17.02711980775833
HOTAIR,CRW2_23S_E_326_nH.db,18.125643666323377
HOTAIR,CRW2_23S_E_327_nH.db,16.6498825109097
HOTAIR,CRW2_23S_E_328_nH.db,17.72406847935549
HOTAIR,CRW2_23S_E_329_nH.db,18.27253957329663
HOTAIR,CRW2_23S_E_330_nH.db,17.240192704748793
HOTAIR,CRW2_23S_E_334_nH.db,17.261698440207972
HOTAIR,CRW2_23S_E_335_nH.db,18.30155979202773
HOTAIR,CRW2_23S_E_336_nH.db,17.038052793966408
HOTAIR,CRW2_23S_E_337_nH.db,18.10078848131642
HOTAIR,CRW2_23S_E_342_nH.db,17.41379310344827
HOTAIR,CRW2_23S_E_343_nH.db,17.9372197309417
HOTAIR,CRW2_23S_E_346_nH.db,12.013139371187231
HOTAIR,CRW2_23S_E_347_nH.db,12.482402627874233
HOTAIR,CRW2_23S_E_348_nH.db,15.032495055100314
HOTAIR,CRW2_23S_E_349_nH.db,15.032495055100314
HOTAIR,CRW2_23S_E_350_nH.db,14.495620231703876
HOTAIR,CRW2_23S_E_351_nH.db,14.739295077191962
HOTAIR,CRW2_23S_E_352_nH.db,15.409263035246145
HOTAIR,CRW2_23S_E_353_nH.db,15.028248587570625
HOTAIR,CRW2_23S_E_354_nH.db,14.576271186440682
HOTAIR,CRW2_23S_E_355_nH.db,14.659834898946766
HOTAIR,CRW2_23S_E_356_nH.db,15.143751779106173
HOTAIR,CRW2_23S_E_357_nH.db,14.527580557072639
HOTAIR,CRW2_23S_E_358_nH.db,14.5002730748225
HOTAIR,CRW2_23S_E_359_nH.db,14.5002730748225
HOTAIR,CRW2_23S_E_360_nH.db,14.254505734571277
